01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Macedo de Cavaleiros,Município,Total,,,,,702.3
2009,Machico,Município,Homens,,,,x,
2009,Machico,Município,Mulheres,,,,x,
2009,Machico,Município,Total,,,,x,
2009,Madalena,Município,Homens,,,,x,
2009,Madalena,Município,Mulheres,,,,x,
2009,Madalena,Município,Total,,,,x,
2009,Mafra,Município,Homens,,,,,1088.1
2009,Mafra,Município,Mulheres,,,,,1251.2
2009,Mafra,Município,Total,,,,,2339.3
2009,Maia,Município,Homens,,,,,3350.5
2009,Maia,Município,Mulheres,,,,,4499.7
2009,Maia,Município,Total,,,,,7850.2
2009,Mangualde,Município,Homens,,,,,508.1
2009,Mangualde,Município,Mulheres,,,,,574.8
2009,Mangualde,Município,Total,,,,,1082.8
2009,Manteigas,Município,Homens,,,,,70.8
2009,Manteigas,Município,Mulheres,,,,,133.3
2009,Manteigas,Município,Total,,,,,204.1
2009,Marco de Canaveses,Município,Homens,,,,,1193.5
2009,Marco de Canaveses,Município,Mulheres,,,,,2172.3
2009,Marco de Canaveses,Município,Total,,,,,3365.8
2009,Marinha Grande,Município,Homens,,,,,812.8
2009,Marinha Grande,Município,Mulheres,,,,,987.1
2009,Marinha Grande,Município,Total,,,,,1799.8
2009,Marvão,Município,Homens,,,,,47.9
2009,Marvão,Município,Mulheres,,,,,50.8
2009,Marvão,Município,Total,,,,,98.8
2009,Matosinhos,Município,Homens,,,,,4405.1
2009,Matosinhos,Município,Mulheres,,,,,3983.8
2009,Matosinhos,Município,Total,,,,,8388.8
2009,Mealhada,Município,Homens,,,,,338.8
2009,Mealhada,Município,Mulheres,,,,,394.0
2009,Mealhada,Município,Total,,,,,732.8
2009,Mêda,Município,Homens,,,,,32.5
2009,Mêda,Município,Mulheres,,,,,54.3
2009,Mêda,Município,Total,,,,,86.8
2009,Melgaço,Município,Homens,,,,,58.2
2009,Melgaço,Município,Mulheres,,,,,79.8
2009,Melgaço,Município,Total,,,,,137.9
